Date,Open,High,Low,Close,Adj Close,Volume
2020-05-14,9396.849609,9465.849609,9310.049805,9333.099609,9333.099609,11709500
2020-05-15,9371.900391,9372.049805,9240.950195,9320.599609,9320.599609,10803400
2020-05-18,9339.900391,9340.000000,8988.950195,9004.400391,9004.400391,14417500
2020-05-19,9140.950195,9209.250000,9036.049805,9060.150391,9060.150391,19156100
2020-05-20,9069.700195,9276.599609,9055.200195,9249.150391,9249.150391,13588400
2020-05-21,9265.750000,9366.750000,9243.799805,9299.799805,9299.799805,13350700
2020-05-22,9263.250000,9344.049805,9165.450195,9226.799805,9226.799805,13186000
2020-05-26,9284.349609,9341.400391,9187.799805,9219.599609,9219.599609,11419400
2020-05-27,9267.750000,9488.349609,9186.700195,9471.599609,9471.599609,12346400
2020-05-28,9519.700195,9669.049805,9492.750000,9648.200195,9648.200195,17012800
2020-05-29,9584.049805,9777.099609,9542.549805,9759.450195,9759.450195,39474900
2020-06-01,9900.700195,10093.150391,9882.700195,9996.400391,9996.400391,17918200
2020-06-02,10051.200195,10153.849609,9998.400391,10139.750000,10139.750000,21387800
2020-06-03,10266.900391,10336.650391,10194.049805,10220.250000,10220.250000,22155100
2020-06-04,10219.750000,10293.349609,10108.500000,10198.000000,10198.000000,21089800
2020-06-05,10265.700195,10357.500000,10213.849609,10324.150391,10324.150391,32703300
2020-06-08,10506.250000,10506.299805,10298.650391,10346.700195,10346.700195,34714300
2020-06-09,10367.750000,10472.799805,10202.700195,10231.250000,10231.250000,27883300
2020-06-10,10255.450195,10322.099609,10211.549805,10291.700195,10291.700195,21448400
2020-06-11,10271.650391,10297.950195,10066.599609,10082.099609,10082.099609,33711400
2020-06-12,9720.549805,10180.799805,9719.650391,10158.299805,10158.299805,26764100
2020-06-15,10113.400391,10141.150391,9924.099609,10005.799805,10005.799805,0
2020-06-16,10200.450195,10230.599609,9917.400391,10097.349609,10097.349609,0
2020-06-17,10060.150391,10186.150391,10020.950195,10069.750000,10069.750000,0
2020-06-18,10051.450195,10276.900391,10033.150391,10258.150391,10258.150391,0
2020-06-19,10289.000000,10434.599609,10246.750000,10407.750000,10407.750000,0
2020-06-22,10487.200195,10568.750000,10453.099609,10494.349609,10494.349609,23679500
2020-06-23,10534.950195,10674.400391,10491.500000,10660.799805,10660.799805,15657200
2020-06-24,10724.950195,10753.599609,10474.549805,10499.900391,10499.900391,19234100
2020-06-25,10431.049805,10558.450195,10392.700195,10486.549805,10486.549805,20590500
2020-06-26,10577.349609,10607.049805,10505.200195,10570.950195,10570.950195,21057600
2020-06-29,10506.700195,10520.950195,10414.500000,10496.849609,10496.849609,7494400
2020-06-30,10566.799805,10587.099609,10452.500000,10486.900391,10486.900391,7490100
2020-07-01,10511.900391,10615.150391,10482.349609,10598.900391,10598.900391,7810600
2020-07-02,10656.450195,10757.799805,10650.299805,10716.099609,10716.099609,8435900
2020-07-03,10780.650391,10797.099609,10732.450195,10776.299805,10776.299805,7882100
2020-07-06,10887.799805,10963.799805,10859.250000,10919.250000,10919.250000,7806900
2020-07-07,10958.500000,10972.650391,10847.299805,10958.000000,10958.000000,9025100
2020-07-08,10979.400391,11006.849609,10842.549805,10870.950195,10870.950195,11147000
2020-07-09,10918.849609,10984.599609,10898.849609,10962.700195,10962.700195,8332100
2020-07-10,10918.500000,10975.799805,10868.750000,10919.700195,10919.700195,8597600
2020-07-13,11001.049805,11036.049805,10902.450195,10953.750000,10953.750000,7430100
2020-07-14,10906.250000,10911.000000,10725.700195,10768.599609,10768.599609,7429200
2020-07-15,10859.299805,10974.400391,10730.799805,10769.599609,10769.599609,9027300
2020-07-16,10852.299805,10893.799805,10734.400391,10879.900391,10879.900391,8567200
2020-07-17,10895.500000,11074.799805,10893.150391,11045.849609,11045.849609,8691500
2020-07-20,11138.500000,11174.349609,11094.049805,11159.450195,11159.450195,7220900
2020-07-21,11261.299805,11300.900391,11244.650391,11283.900391,11283.900391,9943400
2020-07-22,11348.950195,11355.000000,11173.950195,11249.450195,11249.450195,9725300
2020-07-23,11255.599609,11356.150391,11225.450195,11334.299805,11334.299805,7892500
2020-07-24,11270.799805,11326.950195,11202.200195,11297.750000,11297.750000,8515500
2020-07-27,11328.900391,11328.900391,11188.250000,11231.299805,11231.299805,7780000
2020-07-28,11255.049805,11404.500000,11253.150391,11388.400391,11388.400391,8586900
2020-07-29,11369.549805,11428.150391,11258.799805,11310.849609,11310.849609,8001700
2020-07-30,11361.950195,11403.950195,11207.900391,11231.299805,11231.299805,8960400
2020-07-31,11269.250000,11286.200195,11177.099609,11222.950195,11222.950195,8575500
2020-08-03,11208.549805,11208.950195,11046.950195,11056.000000,11056.000000,9824000
2020-08-04,11113.650391,11258.849609,11074.049805,11244.099609,11244.099609,0
2020-08-05,11304.400391,11368.400391,11213.250000,11248.400391,11248.400391,8680100
2020-08-06,11329.500000,11396.150391,11278.150391,11345.450195,11345.450195,8256600
2020-08-07,11337.200195,11377.150391,11297.150391,11361.400391,11361.400391,6809200
2020-08-10,11426.299805,11491.950195,11401.549805,11433.000000,11433.000000,7469800
2020-08-11,11486.150391,11531.500000,11455.950195,11471.250000,11471.250000,8583900
2020-08-12,11441.049805,11470.900391,11389.700195,11458.250000,11458.250000,9549800
2020-08-13,11488.099609,11512.650391,11429.250000,11458.900391,11458.900391,8147300
2020-08-14,11511.400391,11525.950195,11269.400391,11337.549805,11337.549805,9131300
2020-08-17,11411.200195,11422.700195,11296.849609,11402.849609,11402.849609,8322400
2020-08-18,11419.200195,11556.849609,11412.849609,11541.950195,11541.950195,0
2020-08-19,11608.900391,11618.549805,11550.950195,11564.500000,11564.500000,0
2020-08-20,11478.500000,11524.650391,11451.500000,11479.000000,11479.000000,0
2020-08-21,11581.250000,11589.250000,11526.049805,11535.799805,11535.799805,0
2020-08-24,11579.950195,11648.500000,11578.500000,11619.150391,11619.150391,0
2020-08-25,11668.950195,11681.549805,11575.650391,11625.599609,11625.599609,0
2020-08-26,11668.599609,11705.599609,11611.450195,11694.349609,11694.349609,0
2020-08-27,11755.400391,11762.250000,11692.650391,11709.450195,11709.450195,0
2020-08-28,11755.599609,11830.700195,11743.250000,11791.500000,11791.500000,0
2020-08-31,11913.549805,11927.200195,11438.750000,11496.049805,11496.049805,0
2020-09-01,11570.150391,11651.650391,11477.849609,11586.599609,11586.599609,0
2020-09-02,11598.400391,11681.400391,11554.650391,11660.599609,11660.599609,0
2020-09-03,11694.500000,11714.650391,11643.849609,11663.349609,11663.349609,0
2020-09-04,11491.150391,11589.849609,11436.950195,11464.950195,11464.950195,0
2020-09-07,11493.250000,11509.950195,11380.450195,11478.400391,11478.400391,7090300
2020-09-08,11502.900391,11556.450195,11407.450195,11434.900391,11434.900391,0
2020-09-09,11338.700195,11418.450195,11299.599609,11397.950195,11397.950195,0
2020-09-10,11481.299805,11577.099609,11453.049805,11562.650391,11562.650391,0
2020-09-11,11562.450195,11609.400391,11538.799805,11589.650391,11589.650391,0
2020-09-14,11665.650391,11690.000000,11512.049805,11566.450195,11566.450195,0
2020-09-15,11613.700195,11666.299805,11580.049805,11652.849609,11652.849609,0
2020-09-16,11673.400391,11743.849609,11653.900391,11732.700195,11732.700195,0
2020-09-17,11671.250000,11718.299805,11629.200195,11646.150391,11646.150391,0
2020-09-18,11713.549805,11716.200195,11581.650391,11640.200195,11640.200195,0
2020-09-21,11642.000000,11661.450195,11332.500000,11367.250000,11367.250000,0
2020-09-22,11411.049805,11411.450195,11177.049805,11264.549805,11264.549805,0
2020-09-23,11366.849609,11369.400391,11135.750000,11241.599609,11241.599609,0
2020-09-24,11122.549805,11127.650391,10906.700195,10922.250000,10922.250000,0
2020-09-25,11029.500000,11198.099609,10974.900391,11176.299805,11176.299805,0
2020-09-28,11270.549805,11375.450195,11233.549805,11365.250000,11365.250000,0
2020-09-29,11429.400391,11449.450195,11314.450195,11353.650391,11353.650391,0
2020-09-30,11380.200195,11431.650391,11320.000000,11385.200195,11385.200195,0
2020-10-01,11499.650391,11557.400391,11484.250000,11545.900391,11545.900391,0
2020-10-05,11616.599609,11693.299805,11608.549805,11678.150391,11678.150391,0
